dataset	column	value	description	is_missing_value	standardized_term
ds004199	group	fcd	person with epilepsy, diagnosed with an FCD		
ds004199	group	hc	healthy control		
ds004199	sex	M	male		
ds004199	sex	F	female		
ds004199	age_epilepsyonset	1.0			
ds004199	age_epilepsyonset	2.0			
ds004199	age_epilepsyonset	3.0			
ds004199	age_epilepsyonset	7.0			
ds004199	age_epilepsyonset	4.0			
ds004199	age_epilepsyonset	5.0			
ds004199	age_epilepsyonset	8.0			
ds004199	age_epilepsyonset	9.0			
ds004199	age_epilepsyonset	6.0			
ds004199	age_epilepsyonset			True	
ds004199	age_scan	4			
ds004199	age_scan	7			
ds004199	age_scan	8			
ds004199	age_scan	13			
ds004199	age_scan	6			
ds004199	age_scan	5			
ds004199	age_scan	9			
ds004199	age_scan	11			
ds004199	age_scan	12			
ds004199	age_scan	3			
ds004199	age_scan	10			
ds004199	mri_diagnosis	suspicion	Images suggest an FCD type II.		
ds004199	mri_diagnosis	none	Images did not reveal any pathological changes.	True	
ds004199	mri_diagnosis	other	Described structural changes, bu no suspected FCD.		
ds004199	mri_diagnosis			True	
ds004199	map	0.0			
ds004199	map	1.0			
ds004199	map			True	
ds004199	spect	0.0			
ds004199	spect	1.0			
ds004199	spect			True	
ds004199	pet	0.0			
ds004199	pet	1.0			
ds004199	pet			True	
ds004199	invasive_EEG	0.0			
ds004199	invasive_EEG	1.0			
ds004199	invasive_EEG			True	
ds004199	op	1			
ds004199	op	0			
ds004199	age_op	4.0			
ds004199	age_op			True	
ds004199	age_op	8.0			
ds004199	age_op	7.0			
ds004199	age_op	9.0			
ds004199	age_op	6.0			
ds004199	age_op	12.0			
ds004199	age_op	5.0			
ds004199	age_op	10.0			
ds004199	age_op	3.0			
ds004199	histopathology	IIb	Type IIb		
ds004199	histopathology	IIa	Type IIa		
ds004199	histopathology			True	
ds004199	1year_outcome	IA	Engel IA: Completely seizure free since surgery		
ds004199	1year_outcome			True	
ds004199	1year_outcome	IVB	Engel IVB: No appreciable change		
ds004199	1year_outcome	IIB	Engel IIB: Rare disabling seizures since surgery		
ds004199	1year_outcome	IIA	Engel IIA: Initially free of disabling seizures but has rare seizures now		
ds004199	1year_outcome	IB	Engel IB: Nondisabling simple partial seizures only since surgery		
ds004199	1year_outcome	IIIA	Engel IIIA: Worthwhile seizure reduction		
ds004199	latest_outcome	IA	Engel IA: Completely seizure free since surgery		
ds004199	latest_outcome			True	
ds004199	latest_outcome	IVB	Engel IVB: No appreciable change		
ds004199	latest_outcome	IIC	Engel IIC: More than rare disabling seizures since surgery, but rare seizures for the last 2 years		
ds004199	latest_outcome	IC	Engel IC: Some disabling seizures after surgery, but free of disabling seizures for at least 2 years		
ds004199	latest_outcome	IIIA	Engel IIIA: Worthwhile seizure reduction		
ds004199	latest_outcome	IVC	Engel IVC: Seizures worse		
ds004199	latest_outcome	IIA	Engel IIA: Initially free of disabling seizures but has rare seizures now		
ds004199	latest_outcome	IIB	Engel IIB: Rare disabling seizures since surgery		
ds004199	time_follow-up	2.0			
ds004199	time_follow-up	3.0			
ds004199	time_follow-up			True	
ds004199	time_follow-up	7.0			
ds004199	time_follow-up	5.0			
ds004199	time_follow-up	4.0			
ds004199	time_follow-up	6.0			
ds004199	time_follow-up	1.0			
ds004199	hemisphere	L	left		
ds004199	hemisphere	R	right		
ds004199	hemisphere			True	
ds004199	lobe	FL	frontal lobe		
ds004199	lobe	TL	temporal lobe		
ds004199	lobe	PL	parietal lobe		
ds004199	lobe	IL	insular lobe		
ds004199	lobe	TL,PL			
ds004199	lobe	OL	occipital lobe		
ds004199	lobe	TL,OL			
ds004199	lobe	FL,PL			
ds004199	lobe			True	
ds004199	split	train			
ds004199	split	test			
ds006107	sex	Male			
ds006107	sex	Female			
ds006107	daily_seizure	Absence			
ds006107	daily_seizure	Presence			
ds006107	asm	3			
ds006107	asm	1			
ds006107	asm	2			
ds006107	asm	5			
ds006107	asm	4			
ds006107	resected_side	Left			
ds006107	resected_side	Right			
ds006107	mri	Absence			
ds006107	mri	Presence			
ds006107	seizure_capture	Yes			
ds006107	seizure_capture	No			
ds006107	failed_resec_SOZ	Not failed			
ds006107	failed_resec_SOZ	Failed			
ds006107	extra_temporal	Not needed			
ds006107	extra_temporal	Needed			
ds006107	outcome	1			
ds006107	outcome	4			
ds006107	outcome	3			
ds006107	outcome	5			
ds006107	outcome	2			
ds006107	cohort	Derivation			
ds006107	cohort	Validation			
ds005305	Gender	man	Biological male		
ds005305	Gender	woman	Biological female		
ds005305	NativeLanguage	french	Of french origin		
ds005305	NativeLanguage	other	Not of french origin		
ds005305	EducationLevel	16			
ds005305	EducationLevel	17			
ds005305	EducationLevel	15			
ds005305	EducationLevel	18			
ds005305	EducationLevel	20			
ds005305	EducationLevel	14			
ds005305	EducationLevel	13			
ds005305	EducationLevel	12			
ds005305	EducationLevel	19			
ds005305	Handedness	right-handed			
ds005305	Handedness	left-handed			
ds005305	Inclusion	1			
ds005305	Inclusion	0			
ds005166	sex	F	Female		
ds005166	sex	M	Male		
ds005166	race	White or Caucasian	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.		
ds005166	race	Black or African American	A person having origins in an of the black racial groups of Africa.  Terms such as Haitian or Negro can be used in addition to Black or African American.		
ds005166	race	Asian	A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.		
ds005166	race	More than One Race	A person who is of more than one race.		
ds005166	race	Unknown	Race Unknown		
ds005166	race	Other			
ds005166	race	American Indian/Alaska Native			
ds005166	race			True	
ds005166	ethnicity	0.0			
ds005166	ethnicity	1.0			
ds005166	ethnicity	2.0			
ds005166	ethnicity			True	
ds005166	highest_education	1.0			
ds005166	highest_education	2.0			
ds005166	highest_education			True	
ds005166	highest_education	5.0			
ds005166	highest_education	3.0			
ds005166	income	8.0			
ds005166	income	7.0			
ds005166	income			True	
ds005166	income	9.0			
ds005166	income	5.0			
ds005166	income	3.0			
ds005166	income	99.0			
ds005166	income	4.0			
ds005166	clinical_scores	0			
ds005166	clinical_scores	1			
ds005166	fMRI_data	0			
ds005166	fMRI_data	1			
ds005166	AXCPT	0			
ds005166	AXCPT	1			
ds005166	AS	0			
ds005166	AS	1			
ds005166	SST	0			
ds005166	SST	1			
ds005166	Flanker	0			
ds005166	Flanker	1			
ds005166	CALM_IT	0			
ds005166	CALM_IT	1			
ds005460	condition	NEU	Neutral		
ds005460	condition	ANG	Anger		
ds005460	condition	HOP	Hope		
ds005460	sex	0			
ds005460	sex	1			
ds005460	age	22			
ds005460	age	23			
ds005460	age	20			
ds005460	age	24			
ds005460	age	21			
ds005460	age	25			
ds005460	age	19			
ds005460	age	26			
ds005460	residence	0			
ds005460	residence	3			
ds005460	residence	2			
ds005460	residence	1			
ds005460	residence	4			
ds005460	education	4			
ds005460	education	5			
ds005460	education	6			
ds005460	education	3			
ds005460	CCC	2			
ds005460	CCC	3			
ds005460	CCC	1			
ds005460	CCC	0			
ds005460	CCC	4			
ds005460	actions	2			
ds005460	actions	1			
ds005460	actions	5			
ds005460	actions	4			
ds005460	actions	3			
ds005460	lifestyle	3			
ds005460	lifestyle	4			
ds005460	lifestyle	5			
ds005460	lifestyle	2			
ds005460	driver	1			
ds005460	driver	0			
ds005460	car	1			
ds005460	car	0			
ds005460	car	3			
ds005460	car	2			
ds005460	politics1	1			
ds005460	politics1	0			
ds005460	politics2	1.0			
ds005460	politics2	0.0			
ds005460	politics2			True	
ds005460	SES	1			
ds005460	SES	0			
ds005460	SES	2			
ds005460	PCAE_i	6			
ds005460	PCAE_i	8			
ds005460	PCAE_i	3			
ds005460	PCAE_i	1			
ds005460	PCAE_i	7			
ds005460	PCAE_i	5			
ds005460	PCAE_i	4			
ds005460	PCAE_i	2			
ds005460	PCAE_c	7			
ds005460	PCAE_c	8			
ds005460	PCAE_c	6			
ds005460	PCAE_c	5			
ds005460	PCAE_c	4			
ds005460	PCAE_c	3			
ds005270	sex	m	male		
ds005270	sex	f	female		
ds005270	t1w	1			
ds005270	t2w	1			
ds005270	dwi	1			
ds005270	dwi	0			
ds005270	rest	1			
ds005270	rest	0			
ds005270	nbk	1			
ds005270	tsw	1			
ds005270	tsw	0			
ds005270	gng	1			
ds005270	perf	1			
ds005270	perf	0			
ds003655	Sex	Female			
ds003655	Sex	Male			
ds003655	Accuracy_Retention_5	0.95			
ds003655	Accuracy_Retention_5	1.0			
ds003655	Accuracy_Retention_5	0.9			
ds003655	Accuracy_Retention_5	0.85			
ds003655	Accuracy_Retention_5	0.7			
ds003655	Accuracy_Retention_5	0.65			
ds003655	Accuracy_Retention_5	0.8			
ds003655	Accuracy_Retention_5	0.75			
ds004118	group	Normal			
ds005366	sex	M	male		
ds005366	sex	F	female		
ds005366	handedness	R	Right		
ds005366	handedness	L	Left		
ds005366	handedness	A	Ambidextrous		
ds005366	participant_type	patient	Participant with neurological condition that led for hospital admission and data acquisition		
ds005366	participant_type	healthy	Healthy volunteer		
ds002385	ses	1.0			
ds002385	ses	2.0			
ds002385	ses	3.0			
ds002385	ses			True	
ds002385	sex	M			
ds002385	sex	F			
ds002385	sex			True	
ds002385	sex	U			
ds005498	Gender	2			
ds005498	Gender	1			
ds005498	Gender	3			
ds005498	Race	5			
ds005498	Race	4			
ds005498	Race	2			
ds005498	Race	6			
ds005498	Race	7			
ds005498	Race	8			
ds005498	Race	3			
ds005498	Ethnicity	2			
ds005498	Ethnicity	1			
ds005498	Ethnicity	3			
ds005498	Trauma Criterion A 	0			
ds005498	Trauma Criterion A 	1			
ds005498	Current PTSD Diagnosis	0			
ds005498	Current PTSD Diagnosis	1			
ds005498	Lifetime PTSD Diagnosis	0			
ds005498	Lifetime PTSD Diagnosis	1			
ds005498	Current MDD	0			
ds005498	Current MDD	1			
ds005498	Lifetime MDD	0			
ds005498	Lifetime MDD	1			
ds005498	Current GAD	0			
ds005498	Current GAD	1			
ds005498	Lifetime GAD	0			
ds005498	Lifetime GAD	1			
ds005498	OCD	0			
ds005498	OCD	1			
ds005498	Social Phobias	0			
ds005498	Social Phobias	1			
ds005498	Other Phobias	0			
ds005498	Other Phobias	1			
ds005498	Panic Disorder	0			
ds005498	Panic Disorder	1			
ds005498	Current Alcohol Use	0			
ds005498	Current Alcohol Use	1			
ds005498	Current Drug Use	0			
ds005498	Current Drug Use	1			
ds005498	Past Alcohol or Drug Use	0			
ds005498	Past Alcohol or Drug Use	1			
ds005498	Diagnosis Other Misc	0			
ds005498	Diagnosis Other Misc	1			
ds005498	No Diagnosis	1			
ds005498	No Diagnosis	0			
ds005498	Positive Urine Tox Results	0			
ds005498	Positive Urine Tox Results	1			
ds005498	R-FP Scan (24x60xMinus2)	0			
ds005498	R-FP Scan (24x60xMinus2)	1			
ds005498	L-FP Scan (Minus24x60xMinus2)	0			
ds005498	L-FP Scan (Minus24x60xMinus2)	1			
ds005498	R-FEF Scan (34x6x62)	0			
ds005498	R-FEF Scan (34x6x62)	1			
ds005498	R-IFJ Scan (50x10x28)	0			
ds005498	R-IFJ Scan (50x10x28)	1			
ds005498	R-IPL Scan (48xMinus54x46)	0			
ds005498	R-IPL Scan (48xMinus54x46)	1			
ds005498	R-M1 Scan (40xMinus18x64)	0			
ds005498	R-M1 Scan (40xMinus18x64)	1			
ds005498	R-preSMA Scan (6x2x70)	0			
ds005498	R-preSMA Scan (6x2x70)	1			
ds005498	R-aMFG Scan (30x50x26)	0			
ds005498	R-aMFG Scan (30x50x26)	1			
ds005498	L-pMFG Scan (Minus38x22x48)	0			
ds005498	L-pMFG Scan (Minus38x22x48)	1			
ds005498	R-pMFG Scan (46x26x38)	1			
ds005498	R-pMFG Scan (46x26x38)	0			
ds005498	L-aMFG Scan ( Minus32x42x34)	0			
ds005498	L-aMFG Scan ( Minus32x42x34)	1			
ds005498	Resting Scan	1			
ds005498	Resting Scan	0			
ds005506	release_number	R2			
ds005506	sex	M	Male		
ds005506	sex	F	Female		
ds005506	commercial_use	Yes	Subject gave consent to commercial use of data		
ds005506	full_pheno	Yes			
ds005506	full_pheno	No			
ds005506	RestingState	available			
ds005506	RestingState	caution			
ds005506	DespicableMe	available			
ds005506	DespicableMe	unavailable			
ds005506	DespicableMe	caution			
ds005506	FunwithFractals	available			
ds005506	FunwithFractals	unavailable			
ds005506	ThePresent	available			
ds005506	ThePresent	unavailable			
ds005506	DiaryOfAWimpyKid	available			
ds005506	DiaryOfAWimpyKid	unavailable			
ds005506	DiaryOfAWimpyKid	caution			
ds005506	contrastChangeDetection_1	available			
ds005506	contrastChangeDetection_1	unavailable			
ds005506	contrastChangeDetection_1	caution			
ds005506	contrastChangeDetection_2	available			
ds005506	contrastChangeDetection_2	unavailable			
ds005506	contrastChangeDetection_2	caution			
ds005506	contrastChangeDetection_3	available			
ds005506	contrastChangeDetection_3	unavailable			
ds005506	contrastChangeDetection_3	caution			
ds005506	surroundSupp_1	available			
ds005506	surroundSupp_1	unavailable			
ds005506	surroundSupp_1	caution			
ds005506	surroundSupp_2	available			
ds005506	surroundSupp_2	unavailable			
ds005506	seqLearning6target	unavailable			
ds005506	seqLearning6target	available			
ds005506	seqLearning8target	available			
ds005506	seqLearning8target	unavailable			
ds005506	symbolSearch	available			
ds005506	symbolSearch	unavailable			
ds005506	symbolSearch	caution			
ds006303	sex	1			
ds006303	sex	-1			
ds004584	GROUP	PD			
ds004584	GROUP	Control			
ds004584	GENDER	M	Male		
ds004584	GENDER	F	Female		
ds004584	TYPE	1			
ds004584	TYPE	0			
ds004795	sex	M	Male		
ds004795	sex	F	Female		
ds006866	Gender	2			
ds006866	Gender	1			
ds004580	GROUP	PD			
ds004580	GROUP	Control			
ds004580	GENDER	M	Male		
ds004580	GENDER	F	Female		
ds004580	TYPE	1			
ds004580	TYPE	0			
ds005016	sex	female			
ds005016	sex	male			
ds005016	sex			True	
ds005016	group	SMH			
ds005016	group	MBSR+			
ds005016	group			True	
ds004574	GROUP	PD			
ds004574	GROUP	Control			
ds004574	GENDER	M	Male		
ds004574	GENDER	F	Female		
ds004574	TYPE	1			
ds004574	TYPE	0			
ds005292	Gender	F	Physiological female		
ds005292	Gender	M	Physiological male		
ds006923	Subject type	No Offender	Juvenile no offender		
ds006923	Subject type	Offender	Juvenile offender		
ds006923	Age	15			
ds006923	Age	18			
ds006923	Age	16			
ds006923	Age	17			
ds006923	Age	14			
ds006923	Age	19			
ds006923	Gender	Male	Male		
ds006923	Level of education	Middle school	Middle school		
ds006923	Level of education	Technical	Technical		
ds006923	Level of education	Basic secondary	Basic secondary		
ds006923	Level of education	University	University		
ds006923	Level of education	High school	High school		
ds006923	Level of education	Basic primary	Basic primary		
ds006923	School dropout	No	No		
ds006923	School dropout	Yes	Yes		
ds006923	Gang member	No	No		
ds006923	Gang member	Yes	Yes		
ds006923	Domestic violence	No	No		
ds006923	Domestic violence	Yes	Yes		
ds006923	Displaced by violence	No	No		
ds006923	Displaced by violence	Yes	Yes		
ds006923	Socioeconomic stratum	2			
ds006923	Socioeconomic stratum	1			
ds006923	Socioeconomic stratum	3			
ds006923	Type of crime 1			True	
ds006923	Type of crime 1	Homicide	Homicide		
ds006923	Type of crime 1	Sexual_Abuse	Sexual abuse		
ds006923	Type of crime 1	Theft	Theft		
ds006923	Type of crime 1	Violence	Violence		
ds006923	Type of crime 1	Illegal	Illegal		
ds006923	Type of crime 1	Illegal_Carrying_of_Weapons/Narcotics	Illegal carrying of weapons and narcotics		
ds006923	Type of crime 1	Illegal_Possession_of_Weapons/Narcotics	Illegal possession of weapons and narcotics		
ds006923	Type of crime 1	Kidnapping	Kidnapping		
ds006923	Type of crime 1	Abduction	Abduction		
ds006923	Type of crime 2			True	
ds006923	Type of crime 2	Illegal_Possession_of_Weapons/Narcotics	Illegal possession of weapons and narcotics		
ds006923	Type of crime 2	Theft	Theft		
ds006923	Type of crime 2	Violence	Violence		
ds006923	Type of crime 2	Larceny	Larceny		
ds006923	Type of crime 2	Sexual_Abuse	Sexual abuse		
ds006923	Type of crime 2	Carrying_of_Weapons/Narcotics_Violence	Carrying of weapons and narcotics violence		
ds006923	Type of crime 2	Illegal_Carrying_of_Weapons/Narcotics	Illegal carrying of weapons and narcotics		
ds006923	Type of crime 2	Homicide	Homicide		
ds006923	Type of crime 3			True	
ds006923	Type of crime 3	Theft	Theft		
ds006923	Type of crime 3	Illegal_Possession_of_Weapons/Narcotics	Illegal possession of weapons and narcotics		
ds006923	Type of crime 4			True	
ds006923	Type of crime 4	Theft	Theft		
ds006923	Type of crime 4	Sexual_Abuse	Sexual abuse		
ds006923	Recidivist			True	
ds006923	Recidivist	No	No		
ds006923	Recidivist	Yes	Yes		
ds006923	Consumer of psychoactive substances	No	No		
ds006923	Consumer of psychoactive substances	Yes	Yes		
ds006923	Alcohol	No	No		
ds006923	Alcohol	Yes	Yes		
ds006923	Marijuana	No	No		
ds006923	Marijuana	Yes	Yes		
ds006923	Cocaine	No	No		
ds006923	Cocaine	Yes	Yes		
ds004579	GROUP	PD			
ds004579	GROUP	Control			
ds004579	GENDER	M	Male		
ds004579	GENDER	F	Female		
ds004579	TYPE	1			
ds004579	TYPE	0			
ds006218	species	mus musculus			
ds006218	strain	C57BL/6J			
ds006218	gender	male			
ds006218	gender	Male			
ds006218	gender	Female			
ds006218	genotype	HET			
ds006218	genotype	WT			
ds006218	name ses1	16Mbase			
ds006218	age ses 1	68.0			
ds006218	age ses 1	69.0			
ds006218	age ses 1	67.0			
ds006218	age ses 1			True	
ds006218	name ses2	10Mbase			
ds006218	age ses 2			True	
ds006218	age ses 2	43.0			
ds006218	age ses 2	44.0			
ds006218	age ses 2	41.0			
ds006218	age ses 2	45.0			
ds006218	age ses 2	42.0			
ds006218	name ses3	3Mbase			
ds006218	age ses 3			True	
ds006218	age ses 3	13.0			
ds006218	age ses 3	14.0			
ds006218	name ses4	6Mbase			
ds006218	age ses 4			True	
ds006218	age ses 4	26.0			
ds006218	age ses 4	25.0			
ds006218	age ses 4	28.0			
ds006218	age ses 4	27.0			
ds005851	sex	F	female		
ds005851	sex	M	male		
ds005851	scanner	trio	trio machine		
ds005851	scanner	quatro	quatro machine		
ds007427	hand			True	
ds007427	sex	M	male		
ds007427	sex	F	female		
ds007427	sex			True	
ds007427	MM_Tiempo	5.0			
ds007427	MM_Tiempo			True	
ds007427	MM_Tiempo	2.0			
ds007427	MM_Tiempo	1.0			
ds007427	MM_Tiempo	3.0			
ds007427	MM_Tiempo	4.0			
ds007427	MM_Tiempo	0.0			
ds007427	MM_espac	5.0			
ds007427	MM_espac	4.0			
ds007427	MM_espac			True	
ds007427	MM_espac	2.0			
ds007427	MM_espac	0.0			
ds007427	MM_fijac	3.0			
ds007427	MM_fijac			True	
ds007427	MM_atenc	5.0			
ds007427	MM_atenc	4.0			
ds007427	MM_atenc			True	
ds007427	MM_atenc	3.0			
ds007427	MM_atenc	1.0			
ds007427	MM_atenc	2.0			
ds007427	MM_evoc	3.0			
ds007427	MM_evoc	0.0			
ds007427	MM_evoc	2.0			
ds007427	MM_evoc			True	
ds007427	MM_evoc	1.0			
ds007427	MM_leng	9.0			
ds007427	MM_leng			True	
ds007427	MM_leng	8.0			
ds007427	MM_leng	7.0			
ds007427	Denom_alta	5.0			
ds007427	Denom_alta			True	
ds007427	Denom_alta	4.0			
ds007427	Denom_med	5.0			
ds007427	Denom_med	2.0			
ds007427	Denom_med	4.0			
ds007427	Denom_med	3.0			
ds007427	Denom_med			True	
ds007427	Denom_med	1.0			
ds007427	Denom_baja	4.0			
ds007427	Denom_baja	2.0			
ds007427	Denom_baja	1.0			
ds007427	Denom_baja	3.0			
ds007427	Denom_baja			True	
ds007427	Denom_baja	5.0			
ds007427	Denom_error	1.0			
ds007427	Denom_error	6.0			
ds007427	Denom_error	7.0			
ds007427	Denom_error	2.0			
ds007427	Denom_error	4.0			
ds007427	Denom_error	3.0			
ds007427	Denom_error			True	
ds007427	Denom_error	0.0			
ds007427	Denom_error	5.0			
ds006780	sex	m	male		
ds006780	sex	f	female		
ds006780	sex			True	
ds006780	group	TD	typically developing		
ds006780	group	ASD	autism spectrum disorder		
ds006780	group	ASD SIBLING			
ds006780	group	NAN		True	
ds006780	handedness	L	left		
ds006780	handedness	R	right		
ds006780	handedness	A	ambidextrous		
ds006780	handedness			True	
ds006780	completed_ASSR	yes	present		
ds006780	completed_ASSR	no	absent		
ds006780	completed_AVSRT	yes	present		
ds006780	completed_AVSRT	no	absent		
ds006780	completed_Beep-Flash	yes	present		
ds006780	completed_Beep-Flash	no	absent		
ds006780	completed_FAST	yes	present		
ds006780	completed_FAST	no	absent		
ds006780	completed_Illusory_contours	yes	present		
ds006780	completed_Illusory_contours	no	absent		
ds006780	completed_Motor	yes	present		
ds006780	completed_Motor	no	absent		
ds006780	completed_Resting_state	yes	present		
ds006780	completed_Resting_state	no	absent		
ds006780	ados_css			True	
ds006780	ados_css	15.0			
ds006780	ados_css	10.0			
ds006780	ados_css	7.0			
ds006780	ados_css	8.0			
ds006780	ados_css	6.0			
ds006780	ados_css	9.0			
ds006780	ados_css	4.0			
ds006780	ados_css	3.0			
ds006780	ados_css	5.0			
ds006780	ados_css_dup			True	
ds006780	ados_css_dup	15.0			
ds006780	ados_css_dup	10.0			
ds006780	ados_css_dup	8.0			
ds006780	ados_css_dup	6.0			
ds006780	ados_css_dup	9.0			
ds006780	ados_css_dup	7.0			
ds006780	ados_css_dup	4.0			
ds006780	ados_css_dup	3.0			
ds006780	ados_css_dup	5.0			
ds005505	release_number	R1			
ds005505	sex	F	Female		
ds005505	sex	M	Male		
ds005505	commercial_use	Yes	Subject gave consent to commercial use of data		
ds005505	full_pheno	Yes			
ds005505	full_pheno	No			
ds005505	RestingState	available			
ds005505	DespicableMe	available			
ds005505	DespicableMe	unavailable			
ds005505	FunwithFractals	available			
ds005505	FunwithFractals	unavailable			
ds005505	ThePresent	available			
ds005505	ThePresent	unavailable			
ds005505	DiaryOfAWimpyKid	available			
ds005505	DiaryOfAWimpyKid	unavailable			
ds005505	contrastChangeDetection_1	available			
ds005505	contrastChangeDetection_1	unavailable			
ds005505	contrastChangeDetection_1	caution			
ds005505	contrastChangeDetection_2	available			
ds005505	contrastChangeDetection_2	unavailable			
ds005505	contrastChangeDetection_2	caution			
ds005505	contrastChangeDetection_3	available			
ds005505	contrastChangeDetection_3	unavailable			
ds005505	contrastChangeDetection_3	caution			
ds005505	surroundSupp_1	available			
ds005505	surroundSupp_1	unavailable			
ds005505	surroundSupp_2	available			
ds005505	surroundSupp_2	unavailable			
ds005505	seqLearning6target	unavailable			
ds005505	seqLearning6target	available			
ds005505	seqLearning8target	available			
